<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,60,20170424,110000,686.1000000
NVTK,60,20170424,120000,693.2000000
NVTK,60,20170424,130000,689.9000000
NVTK,60,20170424,140000,687.7000000
NVTK,60,20170424,150000,688.0000000
NVTK,60,20170424,160000,688.9000000
NVTK,60,20170424,170000,691.0000000
NVTK,60,20170424,180000,691.3000000
NVTK,60,20170424,190000,689.6000000
NVTK,60,20170425,110000,687.1000000
NVTK,60,20170425,120000,699.1000000
NVTK,60,20170425,130000,699.3000000
NVTK,60,20170425,140000,702.9000000
NVTK,60,20170425,150000,703.0000000
NVTK,60,20170425,160000,700.8000000
NVTK,60,20170425,170000,699.2000000
NVTK,60,20170425,180000,696.0000000
NVTK,60,20170425,190000,696.8000000
NVTK,60,20170426,110000,701.1000000
NVTK,60,20170426,120000,700.2000000
NVTK,60,20170426,130000,701.5000000
NVTK,60,20170426,140000,698.2000000
NVTK,60,20170426,150000,699.3000000
NVTK,60,20170426,160000,701.1000000
NVTK,60,20170426,170000,700.9000000
NVTK,60,20170426,180000,703.8000000
NVTK,60,20170426,190000,709.5000000
NVTK,60,20170427,110000,694.1000000
NVTK,60,20170427,120000,695.7000000
NVTK,60,20170427,130000,693.1000000
NVTK,60,20170427,140000,692.0000000
NVTK,60,20170427,150000,692.7000000
NVTK,60,20170427,160000,695.0000000
NVTK,60,20170427,170000,694.9000000
NVTK,60,20170427,180000,696.3000000
NVTK,60,20170427,190000,697.1000000
NVTK,60,20170428,110000,697.6000000
NVTK,60,20170428,120000,696.0000000
NVTK,60,20170428,130000,694.7000000
NVTK,60,20170428,140000,696.5000000
NVTK,60,20170428,150000,694.2000000
NVTK,60,20170428,160000,694.6000000
NVTK,60,20170428,170000,695.4000000
NVTK,60,20170428,180000,688.1000000
NVTK,60,20170428,190000,695.4000000
NVTK,60,20170502,110000,690.2000000
NVTK,60,20170502,120000,694.4000000
NVTK,60,20170502,130000,697.6000000
NVTK,60,20170502,140000,697.0000000
NVTK,60,20170502,150000,693.0000000
NVTK,60,20170502,160000,695.1000000
NVTK,60,20170502,170000,694.5000000
NVTK,60,20170502,180000,694.7000000
NVTK,60,20170502,190000,695.7000000
NVTK,60,20170503,110000,688.8000000
NVTK,60,20170503,120000,689.4000000
NVTK,60,20170503,130000,692.0000000
NVTK,60,20170503,140000,692.0000000
NVTK,60,20170503,150000,692.6000000
NVTK,60,20170503,160000,692.8000000
NVTK,60,20170503,170000,688.1000000
NVTK,60,20170503,180000,686.4000000
NVTK,60,20170503,190000,687.4000000
NVTK,60,20170504,110000,692.8000000
NVTK,60,20170504,120000,698.3000000
NVTK,60,20170504,130000,699.5000000
NVTK,60,20170504,140000,699.4000000
NVTK,60,20170504,150000,695.5000000
NVTK,60,20170504,160000,695.0000000
NVTK,60,20170504,170000,690.6000000
NVTK,60,20170504,180000,695.2000000
NVTK,60,20170504,190000,693.0000000
NVTK,60,20170505,110000,691.7000000
NVTK,60,20170505,120000,690.4000000
NVTK,60,20170505,130000,683.0000000
NVTK,60,20170505,140000,685.4000000
NVTK,60,20170505,150000,687.8000000
NVTK,60,20170505,160000,687.8000000
NVTK,60,20170505,170000,693.5000000
NVTK,60,20170505,180000,697.8000000
NVTK,60,20170505,190000,696.0000000
NVTK,60,20170510,110000,689.0000000
NVTK,60,20170510,120000,688.6000000
NVTK,60,20170510,130000,686.3000000
NVTK,60,20170510,140000,687.9000000
NVTK,60,20170510,150000,686.4000000
NVTK,60,20170510,160000,685.3000000
NVTK,60,20170510,170000,687.5000000
NVTK,60,20170510,180000,693.0000000
NVTK,60,20170510,190000,692.0000000
NVTK,60,20170511,110000,687.1000000
NVTK,60,20170511,120000,682.6000000
NVTK,60,20170511,130000,688.2000000
NVTK,60,20170511,140000,687.9000000
NVTK,60,20170511,150000,687.7000000
NVTK,60,20170511,160000,687.8000000
NVTK,60,20170511,170000,684.2000000
NVTK,60,20170511,180000,683.5000000
NVTK,60,20170511,190000,682.9000000
NVTK,60,20170512,110000,676.9000000
NVTK,60,20170512,120000,674.5000000
NVTK,60,20170512,130000,674.8000000
NVTK,60,20170512,140000,670.8000000
NVTK,60,20170512,150000,677.5000000
NVTK,60,20170512,160000,675.5000000
NVTK,60,20170512,170000,675.8000000
NVTK,60,20170512,180000,674.2000000
NVTK,60,20170512,190000,677.0000000
NVTK,60,20170515,110000,677.4000000
NVTK,60,20170515,120000,678.9000000
NVTK,60,20170515,130000,677.1000000
NVTK,60,20170515,140000,677.3000000
NVTK,60,20170515,150000,673.9000000
NVTK,60,20170515,160000,673.5000000
NVTK,60,20170515,170000,678.6000000
NVTK,60,20170515,180000,684.0000000
NVTK,60,20170515,190000,684.0000000
NVTK,60,20170516,110000,687.2000000
NVTK,60,20170516,120000,687.0000000
NVTK,60,20170516,130000,684.4000000
NVTK,60,20170516,140000,682.5000000
NVTK,60,20170516,150000,683.9000000
NVTK,60,20170516,160000,683.6000000
NVTK,60,20170516,170000,680.9000000
NVTK,60,20170516,180000,682.4000000
NVTK,60,20170516,190000,678.1000000
NVTK,60,20170517,110000,680.6000000
NVTK,60,20170517,120000,677.5000000
NVTK,60,20170517,130000,671.9000000
