<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20170922,160000,122.1100000
GAZP,60,20170922,170000,122.2000000
GAZP,60,20170922,180000,121.9700000
GAZP,60,20170922,190000,121.9500000
GAZP,60,20170925,110000,122.1800000
GAZP,60,20170925,120000,122.0100000
GAZP,60,20170925,130000,122.1000000
GAZP,60,20170925,140000,122.3100000
GAZP,60,20170925,150000,123.5300000
GAZP,60,20170925,160000,123.5300000
GAZP,60,20170925,170000,123.4400000
GAZP,60,20170925,180000,123.1600000
GAZP,60,20170925,190000,123.0300000
GAZP,60,20170926,110000,124.1500000
GAZP,60,20170926,120000,123.9500000
GAZP,60,20170926,130000,123.9200000
GAZP,60,20170926,140000,123.8100000
GAZP,60,20170926,150000,123.8800000
GAZP,60,20170926,160000,123.7000000
GAZP,60,20170926,170000,123.6100000
GAZP,60,20170926,180000,123.2700000
GAZP,60,20170926,190000,123.0300000
GAZP,60,20170927,110000,122.8300000
GAZP,60,20170927,120000,122.6700000
GAZP,60,20170927,130000,122.9700000
GAZP,60,20170927,140000,123.2100000
GAZP,60,20170927,150000,123.3300000
GAZP,60,20170927,160000,123.4800000
GAZP,60,20170927,170000,123.0300000
GAZP,60,20170927,180000,123.0000000
GAZP,60,20170927,190000,123.3600000
GAZP,60,20170928,110000,123.2100000
GAZP,60,20170928,120000,123.4500000
GAZP,60,20170928,130000,123.2000000
GAZP,60,20170928,140000,123.1200000
GAZP,60,20170928,150000,123.0700000
GAZP,60,20170928,160000,122.9900000
GAZP,60,20170928,170000,122.7400000
GAZP,60,20170928,180000,122.4800000
GAZP,60,20170928,190000,122.5000000
GAZP,60,20170929,110000,122.3400000
GAZP,60,20170929,120000,122.3900000
GAZP,60,20170929,130000,122.2000000
GAZP,60,20170929,140000,122.0400000
GAZP,60,20170929,150000,122.1600000
GAZP,60,20170929,160000,121.8600000
GAZP,60,20170929,170000,122.2200000
GAZP,60,20170929,180000,122.0900000
GAZP,60,20170929,190000,122.2000000
GAZP,60,20171002,110000,122.3100000
GAZP,60,20171002,120000,122.3600000
GAZP,60,20171002,130000,122.3300000
GAZP,60,20171002,140000,122.1600000
GAZP,60,20171002,150000,121.9600000
GAZP,60,20171002,160000,122.1000000
GAZP,60,20171002,170000,121.8400000
GAZP,60,20171002,180000,121.5900000
GAZP,60,20171002,190000,121.9000000
GAZP,60,20171003,110000,121.5100000
GAZP,60,20171003,120000,121.4800000
GAZP,60,20171003,130000,121.4900000
GAZP,60,20171003,140000,121.6700000
GAZP,60,20171003,150000,121.8100000
GAZP,60,20171003,160000,121.8200000
GAZP,60,20171003,170000,121.6700000
GAZP,60,20171003,180000,121.1700000
GAZP,60,20171003,190000,120.7800000
GAZP,60,20171004,110000,120.4100000
GAZP,60,20171004,120000,120.2200000
GAZP,60,20171004,130000,120.3200000
GAZP,60,20171004,140000,120.5000000
GAZP,60,20171004,150000,121.2000000
GAZP,60,20171004,160000,121.4500000
GAZP,60,20171004,170000,121.5300000
GAZP,60,20171004,180000,121.7800000
GAZP,60,20171004,190000,121.7600000
GAZP,60,20171005,110000,121.7800000
GAZP,60,20171005,120000,122.2000000
GAZP,60,20171005,130000,122.6300000
GAZP,60,20171005,140000,123.0200000
GAZP,60,20171005,150000,122.7400000
GAZP,60,20171005,160000,122.4900000
GAZP,60,20171005,170000,123.2100000
GAZP,60,20171005,180000,123.4800000
GAZP,60,20171005,190000,123.5000000
GAZP,60,20171006,110000,124.2100000
GAZP,60,20171006,120000,124.2500000
GAZP,60,20171006,130000,124.1100000
GAZP,60,20171006,140000,124.0800000
GAZP,60,20171006,150000,123.9000000
GAZP,60,20171006,160000,124.0100000
GAZP,60,20171006,170000,123.7700000
GAZP,60,20171006,180000,123.5000000
GAZP,60,20171006,190000,123.4700000
GAZP,60,20171009,110000,123.7500000
GAZP,60,20171009,120000,123.8700000
GAZP,60,20171009,130000,123.7600000
GAZP,60,20171009,140000,124.1400000
GAZP,60,20171009,150000,123.9900000
GAZP,60,20171009,160000,124.0700000
GAZP,60,20171009,170000,124.2700000
GAZP,60,20171009,180000,124.7500000
GAZP,60,20171009,190000,124.8100000
GAZP,60,20171010,110000,124.8900000
GAZP,60,20171010,120000,124.8000000
GAZP,60,20171010,130000,125.0000000
GAZP,60,20171010,140000,124.7900000
GAZP,60,20171010,150000,124.7400000
GAZP,60,20171010,160000,124.9200000
GAZP,60,20171010,170000,124.9900000
GAZP,60,20171010,180000,124.6300000
GAZP,60,20171010,190000,124.4400000
GAZP,60,20171011,110000,125.0400000
GAZP,60,20171011,120000,125.2200000
GAZP,60,20171011,130000,124.9000000
GAZP,60,20171011,140000,125.3300000
GAZP,60,20171011,150000,125.5000000
GAZP,60,20171011,160000,125.8600000
GAZP,60,20171011,170000,125.7400000
GAZP,60,20171011,180000,125.9700000
GAZP,60,20171011,190000,126.0000000
GAZP,60,20171012,110000,126.1200000
GAZP,60,20171012,120000,125.7600000
GAZP,60,20171012,130000,125.7500000
GAZP,60,20171012,140000,125.5800000
GAZP,60,20171012,150000,125.7800000
GAZP,60,20171012,160000,125.8400000
GAZP,60,20171012,170000,125.8900000
GAZP,60,20171012,180000,126.0100000
GAZP,60,20171012,190000,125.9300000
GAZP,60,20171013,110000,126.5900000
GAZP,60,20171013,120000,126.7400000
GAZP,60,20171013,130000,126.6600000
GAZP,60,20171013,140000,126.7300000
GAZP,60,20171013,150000,127.2100000
GAZP,60,20171013,160000,126.9400000
GAZP,60,20171013,170000,126.5600000
GAZP,60,20171013,180000,126.3800000
GAZP,60,20171013,190000,126.8600000
GAZP,60,20171016,110000,126.9400000
GAZP,60,20171016,120000,126.7900000
GAZP,60,20171016,130000,127.3300000
GAZP,60,20171016,140000,127.6800000
GAZP,60,20171016,150000,127.5800000
GAZP,60,20171016,160000,127.3600000
GAZP,60,20171016,170000,127.2100000
GAZP,60,20171016,180000,126.9900000
GAZP,60,20171016,190000,127.1700000
GAZP,60,20171017,110000,126.3400000
GAZP,60,20171017,120000,126.3100000
GAZP,60,20171017,130000,126.1300000
GAZP,60,20171017,140000,126.1500000
GAZP,60,20171017,150000,126.4000000
GAZP,60,20171017,160000,126.3000000
GAZP,60,20171017,170000,125.6700000
GAZP,60,20171017,180000,125.1700000
GAZP,60,20171017,190000,125.1500000
GAZP,60,20171018,110000,126.2200000
GAZP,60,20171018,120000,125.7300000
GAZP,60,20171018,130000,126.0500000
GAZP,60,20171018,140000,126.1100000
GAZP,60,20171018,150000,126.8900000
GAZP,60,20171018,160000,127.0200000
GAZP,60,20171018,170000,126.8000000
GAZP,60,20171018,180000,126.9900000
GAZP,60,20171018,190000,126.7000000
GAZP,60,20171019,110000,125.7700000
GAZP,60,20171019,120000,126.1700000
GAZP,60,20171019,130000,126.3900000
GAZP,60,20171019,140000,126.0200000
GAZP,60,20171019,150000,126.1800000
GAZP,60,20171019,160000,126.1900000
GAZP,60,20171019,170000,125.9600000
GAZP,60,20171019,180000,125.3900000
GAZP,60,20171019,190000,125.5000000
GAZP,60,20171020,110000,126.4500000
GAZP,60,20171020,120000,126.4900000
GAZP,60,20171020,130000,126.7200000
GAZP,60,20171020,140000,126.9100000
GAZP,60,20171020,150000,126.6000000
GAZP,60,20171020,160000,126.8400000
GAZP,60,20171020,170000,126.7500000
GAZP,60,20171020,180000,126.9000000
GAZP,60,20171020,190000,126.7000000
GAZP,60,20171023,110000,126.9500000
GAZP,60,20171023,120000,126.5000000
GAZP,60,20171023,130000,127.0900000
GAZP,60,20171023,140000,126.9900000
GAZP,60,20171023,150000,126.7700000
GAZP,60,20171023,160000,126.7100000
GAZP,60,20171023,170000,126.7700000
GAZP,60,20171023,180000,126.5600000
GAZP,60,20171023,190000,126.8000000
GAZP,60,20171024,110000,126.7600000
GAZP,60,20171024,120000,126.2400000
GAZP,60,20171024,130000,126.1900000
GAZP,60,20171024,140000,126.6000000
GAZP,60,20171024,150000,126.4000000
GAZP,60,20171024,160000,126.1600000
GAZP,60,20171024,170000,125.8300000
GAZP,60,20171024,180000,126.1700000
GAZP,60,20171024,190000,126.0200000
GAZP,60,20171025,110000,125.9300000
GAZP,60,20171025,120000,125.6900000
GAZP,60,20171025,130000,125.8100000
GAZP,60,20171025,140000,125.8200000
GAZP,60,20171025,150000,125.6900000
GAZP,60,20171025,160000,125.6100000
GAZP,60,20171025,170000,125.3100000
GAZP,60,20171025,180000,125.4100000
GAZP,60,20171025,190000,125.0000000
GAZP,60,20171026,110000,124.2500000
GAZP,60,20171026,120000,124.6000000
GAZP,60,20171026,130000,124.4700000
GAZP,60,20171026,140000,124.6200000
GAZP,60,20171026,150000,124.6000000
GAZP,60,20171026,160000,124.6000000
GAZP,60,20171026,170000,124.4500000
GAZP,60,20171026,180000,124.5800000
GAZP,60,20171026,190000,124.2000000
GAZP,60,20171027,110000,124.0600000
GAZP,60,20171027,120000,124.0800000
GAZP,60,20171027,130000,124.5400000
GAZP,60,20171027,140000,124.5700000
GAZP,60,20171027,150000,124.9000000
GAZP,60,20171027,160000,125.4200000
GAZP,60,20171027,170000,125.5100000
GAZP,60,20171027,180000,125.5800000
GAZP,60,20171027,190000,125.9400000
GAZP,60,20171030,110000,126.3700000
GAZP,60,20171030,120000,126.2800000
GAZP,60,20171030,130000,126.6100000
GAZP,60,20171030,140000,126.6100000
GAZP,60,20171030,150000,126.6000000
GAZP,60,20171030,160000,126.6100000
GAZP,60,20171030,170000,126.4900000
GAZP,60,20171030,180000,126.6000000
GAZP,60,20171030,190000,125.9800000
GAZP,60,20171031,110000,126.3300000
GAZP,60,20171031,120000,126.4300000
GAZP,60,20171031,130000,126.4300000
GAZP,60,20171031,140000,126.1600000
GAZP,60,20171031,150000,126.0000000
GAZP,60,20171031,160000,126.0100000
GAZP,60,20171031,170000,125.7000000
GAZP,60,20171031,180000,126.1800000
GAZP,60,20171031,190000,125.9000000
GAZP,60,20171101,110000,126.3100000
GAZP,60,20171101,120000,126.6400000
GAZP,60,20171101,130000,126.3500000
GAZP,60,20171101,140000,126.3200000
GAZP,60,20171101,150000,126.4600000
GAZP,60,20171101,160000,126.5300000
GAZP,60,20171101,170000,126.5400000
